"name","OVA_Conc","Treatment"
"Samples_170518 Exp 21 OT-II Activation_001_001.fcs",0,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_009_009.fcs",0,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_025_025.fcs",0.005,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_033_033.fcs",0.005,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_049_049.fcs",0.05,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_057_057.fcs",0.05,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_073_073.fcs",0.5,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_081_081.fcs",0.5,"Stim-A"
"Samples_170518 Exp 21 OT-II Activation_005_005.fcs",0,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_013_013.fcs",0,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_029_029.fcs",0.005,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_037_037.fcs",0.005,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_053_053.fcs",0.05,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_061_061.fcs",0.05,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_077_077.fcs",0.5,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_085_085.fcs",0.5,"Stim-B"
"Samples_170518 Exp 21 OT-II Activation_004_004.fcs",0,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_012_012.fcs",0,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_028_028.fcs",0.005,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_036_036.fcs",0.005,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_052_052.fcs",0.05,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_060_060.fcs",0.05,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_076_076.fcs",0.5,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_084_084.fcs",0.5,"Stim-C"
"Samples_170518 Exp 21 OT-II Activation_007_007.fcs",0,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_015_015.fcs",0,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_031_031.fcs",0.005,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_039_039.fcs",0.005,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_055_055.fcs",0.05,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_063_063.fcs",0.05,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_087_087.fcs",0.5,"Stim-D"
"Samples_170518 Exp 21 OT-II Activation_095_095.fcs",0.5,"Stim-D"
