"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0.180901,0.08901,0.024654,0.005123,-0.00368,0.015171,0.010665,0.001826,0.000391,0.000391
"PE-A",0.010578,1,0.529828,0.178576,0.03032,-0.001365,0.000627,0.155708,0.000256,0.000128,0.000096
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0.016568,0.014793,0.012426,1,0.361539,0.009993,0.008328,0.024984,0.015428,0.053517,0.026518
"PE-Cy7-A",0,0,0,0,1,0,0,0,0,0,0
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0,0,0,0,0,0,1,0,0,0,0
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0.001883,0.001403,0.001625,0.028063,0.010228,0.001386,0.001646,0.004608,1,0.366765,0.094143
"Alexa Fluor 700-A",-0.000894,0.001491,-0.000596,0.043,0.041441,-0.011469,-0.007273,-0.012588,0.002915,1,0.263573
"APC-Cy7-A",0.054445,0.038247,0.042971,0.058945,0.105,0.039686,0.042219,0.095836,0.043813,0.116,1
